Day,Temp,Humidity,Wind,Casual,Registered,Total
162,0.725,0.654583,0.15485,1729,3237,4966
705,0.438333,0.485,0.324021,331,5398,5729
197,0.686667,0.585,0.208342,2418,3505,5923
140,0.536667,0.719583,0.125013,909,4008,4917
266,0.609167,0.9725,0.0783667,258,2137,2395
139,0.530833,0.829583,0.108213,735,3840,4575
286,0.589167,0.896667,0.141787,290,2623,2913
470,0.495,0.502917,0.190917,2795,4665,7460
695,0.245833,0.468333,0.1505,309,2115,2424
298,0.471667,0.622917,0.166658,695,3992,4687
285,0.543333,0.90625,0.24815,217,2199,2416
180,0.728333,0.497917,0.261821,848,4377,5225
564,0.818333,0.505833,0.114429,921,5865,6786
210,0.838333,0.5425,0.174138,670,3176,3846
193,0.794167,0.559167,0.200254,662,3596,4258
48,0.435833,0.505,0.230104,259,2216,2475
149,0.6675,0.81875,0.213938,2355,2433,4788
187,0.72,0.743333,0.149883,784,3845,4629
450,0.4375,0.880833,0.220775,1532,3464,4996
531,0.648333,0.569583,0.253733,1180,6183,7363
154,0.62,0.354167,0.253121,898,4414,5312
205,0.83,0.550833,0.169171,1050,2556,3606
409,0.2225,0.41125,0.167283,94,3328,3422
153,0.715,0.305,0.292287,736,4232,4968
398,0.399167,0.672917,0.187187,190,3571,3761
342,0.265833,0.58,0.240058,150,3172,3322
121,0.451667,0.762083,0.106354,1138,2213,3351
658,0.563333,0.815,0.134954,753,4671,5424
54,0.221739,0.423043,0.094113,139,1778,1917
717,0.393333,0.907083,0.0982583,212,4373,4585
355,0.428333,0.858333,0.2214,107,2553,2660
334,0.325,0.613333,0.271158,188,3425,3613
206,0.743333,0.757083,0.0908083,568,3272,3840
92,0.315,0.65375,0.197146,898,1354,2252
370,0.265833,0.524167,0.129987,140,3132,3272
711,0.353333,0.596667,0.296037,282,5219,5501
682,0.485,0.741667,0.173517,1097,5172,6269
403,0.354167,0.49625,0.147379,199,4176,4375
641,0.590833,0.871667,0.104475,315,4324,4639
488,0.564167,0.797083,0.138058,667,5502,6169
270,0.636667,0.885417,0.118171,477,3643,4120
571,0.750833,0.655,0.211454,1140,6452,7592
393,0.315833,0.543333,0.210829,775,3248,4023
126,0.479167,0.59,0.228246,894,3714,4608
590,0.700833,0.530417,0.122512,2182,4362,6544
728,0.253333,0.59,0.155471,644,2451,3095
527,0.726667,0.538333,0.133721,2224,4374,6598
442,0.514167,0.755833,0.110704,3155,4681,7836
261,0.5075,0.695,0.178483,1353,2921,4274
479,0.321667,0.766667,0.303496,195,3019,3214
273,0.564167,0.6475,0.206475,830,4372,5202
229,0.723333,0.575417,0.143667,668,4026,4694
579,0.7175,0.6775,0.141179,1074,6506,7580
699,0.28087,0.555652,0.115522,243,5080,5323
573,0.776667,0.596667,0.284813,1036,5825,6861
125,0.459167,0.444167,0.295392,614,3819,4433
690,0.374167,0.685,0.082725,534,5100,5634
28,0.203478,0.793043,0.1233,38,1129,1167
550,0.780833,0.492083,0.126237,1052,5608,6660
698,0.296667,0.50625,0.210821,198,5062,5260
555,0.8225,0.57375,0.125629,1203,3469,4672
677,0.295833,0.5475,0.304108,326,4709,5035
141,0.6025,0.626667,0.12065,2258,3547,5805
105,0.446667,0.67125,0.226375,642,2484,3126
171,0.635,0.74625,0.155475,699,3311,4010
34,0.186957,0.437826,0.277752,61,1489,1550
27,0.195,0.6875,0.113837,15,416,431
337,0.299167,0.612917,0.0957833,706,2908,3614
191,0.7475,0.578333,0.183471,1743,3138,4881
618,0.61,0.5475,0.224496,2570,5657,8227
21,0.1775,0.457083,0.353242,75,1468,1543
602,0.7025,0.615,0.0721458,1325,6257,7582
667,0.4775,0.694583,0.398008,998,3461,4459
330,0.375833,0.681667,0.0684208,1249,1819,3068
592,0.726667,0.686667,0.169158,1128,5656,6784
268,0.634167,0.845,0.0503792,1544,3466,5010
542,0.715833,0.504167,0.300383,1139,5640,6779
174,0.728333,0.703333,0.238804,746,4044,4790
447,0.554167,0.83125,0.117562,1334,5537,6871
242,0.639167,0.548333,0.125008,775,4429,5204
253,0.66,0.75375,0.153608,1750,3595,5345
189,0.709167,0.757917,0.225129,692,3348,4040
639,0.526667,0.583333,0.134958,2015,4874,6889
289,0.511667,0.486667,0.281717,1748,3293,5041
469,0.4425,0.408333,0.155471,1252,5146,6398
540,0.731667,0.534583,0.179721,2657,4801,7458
317,0.440833,0.458333,0.281721,1004,2713,3717
597,0.635833,0.711667,0.08645,1208,3341,4549
30,0.216522,0.722174,0.0739826,140,956,1096
79,0.3325,0.47375,0.207721,1047,1424,2471
587,0.755833,0.620417,0.1561,1196,6090,7286
384,0.19,0.4975,0.220158,130,3162,3292
80,0.430435,0.737391,0.288783,401,1676,2077
240,0.707059,0.561765,0.304659,1415,2919,4334
127,0.52,0.54125,0.16045,1612,3102,4714
466,0.446667,0.435,0.249375,819,5099,5918
598,0.635833,0.734167,0.129979,1026,5504,6530
234,0.691667,0.47,0.27675,833,3925,4758
423,0.366667,0.490833,0.268033,253,4069,4322
673,0.343333,0.49125,0.270529,1029,4109,5138
313,0.4,0.758333,0.0621958,305,3804,4109
454,0.494167,0.439167,0.31965,834,5299,6133
203,0.848333,0.580417,0.1331,562,2825,3387
13,0.165,0.470417,0.301,38,1368,1406
402,0.282609,0.622174,0.1538,206,3578,3784
120,0.4725,0.503333,0.235075,1965,3347,5312
522,0.540833,0.613333,0.209575,968,6033,7001
308,0.403333,0.6225,0.271779,470,3576,4046
100,0.426667,0.8575,0.146767,1188,1707,2895
192,0.7625,0.635833,0.282337,723,3363,4086
687,0.325,0.545417,0.179729,1313,4316,5629
467,0.348696,0.469565,0.295274,482,4380,4862
274,0.41,0.75375,0.292296,480,1949,2429
624,0.608333,0.501667,0.247521,3160,5554,8714
294,0.4275,0.574167,0.221396,676,3628,4304
329,0.375,0.64375,0.0988958,1095,1697,2792
721,0.326667,0.556667,0.374383,221,3402,3623
691,0.353333,0.61375,0.103246,615,4531,5146
720,0.33,0.667917,0.132463,314,3814,4128
259,0.469167,0.590417,0.164183,742,4018,4760
340,0.4625,0.949583,0.232583,126,2468,2594
194,0.746667,0.631667,0.146133,748,3594,4342
418,0.395833,0.567917,0.234471,394,4379,4773
111,0.459167,0.407083,0.325258,745,3444,4189
518,0.654167,0.755417,0.237563,533,3594,4127
243,0.656667,0.597917,0.0833333,688,4370,5058
613,0.725833,0.755,0.236321,867,5997,6864
144,0.66,0.740833,0.207092,659,3833,4492
47,0.318261,0.423478,0.251791,218,1897,2115
250,0.599167,0.917083,0.0970208,118,1878,1996
110,0.595,0.614167,0.241925,613,3331,3944
433,0.5275,0.5675,0.441563,486,4896,5382
231,0.685,0.722917,0.139308,797,3356,4153
150,0.733333,0.685,0.131225,1549,2549,4098
133,0.5125,0.863333,0.179725,692,3413,4105
511,0.68,0.747083,0.14055,1417,5317,6734
185,0.726667,0.637917,0.0814792,3065,2978,6043
310,0.348333,0.734583,0.0920542,952,2697,3649
619,0.583333,0.50375,0.258713,1118,6407,7525
588,0.715833,0.715833,0.238813,1065,4721,5786
362,0.29913,0.503913,0.293961,255,2047,2302
665,0.545833,0.807083,0.132467,1182,6262,7444
532,0.639167,0.589583,0.176617,1563,6102,7665
655,0.468333,0.558333,0.182221,922,6612,7534
535,0.568333,0.777917,0.174746,653,4446,5099
480,0.413333,0.454167,0.249383,518,5115,5633
729,0.253333,0.752917,0.124383,159,1182,1341
49,0.521667,0.516667,0.264925,579,2348,2927
686,0.345,0.524583,0.171025,484,5214,5698
361,0.325,0.7625,0.18845,103,1059,1162
369,0.1075,0.414583,0.1847,95,2273,2368
647,0.383333,0.709583,0.189679,874,4604,5478
107,0.456667,0.479583,0.303496,1558,2186,3744
671,0.365833,0.581667,0.157346,466,5520,5986
424,0.359167,0.395833,0.193417,229,4134,4363
195,0.680833,0.47625,0.240667,888,4196,5084
528,0.720833,0.587917,0.207713,1017,5647,6664
113,0.46,0.887917,0.230725,1462,2574,4036
616,0.703333,0.73625,0.171646,1045,6459,7504
478,0.396667,0.835417,0.344546,120,907,1027
328,0.373333,0.549167,0.167304,560,935,1495
559,0.715833,0.529583,0.146775,1032,6414,7446
37,0.285833,0.568333,0.1418,354,1269,1623
26,0.2175,0.8625,0.29385,34,472,506
212,0.805833,0.480833,0.164813,1524,2778,4302
676,0.280833,0.567083,0.173513,466,5220,5686
84,0.264167,0.495,0.230725,300,1910,2210
498,0.564167,0.480417,0.123133,2622,4807,7429
603,0.661667,0.712917,0.244408,1829,4224,6053
145,0.660833,0.69625,0.154233,740,4238,4978
627,0.623333,0.8725,0.357587,371,3702,4073
16,0.231667,0.48375,0.188433,251,953,1204
472,0.664167,0.561667,0.284829,1198,5172,6370
18,0.216667,0.861667,0.146775,9,674,683
533,0.631667,0.504167,0.166667,2963,4739,7702
258,0.5775,0.709167,0.271146,428,3231,3659
166,0.626667,0.471667,0.167912,769,4411,5180
706,0.255833,0.50875,0.174754,340,5035,5375
304,0.34,0.703333,0.10635,362,3307,3669
428,0.414167,0.62125,0.161079,956,3110,4066
683,0.343333,0.662917,0.342046,327,3767,4094
371,0.334167,0.542083,0.167908,307,3791,4098
263,0.561667,0.88125,0.134954,438,3203,3641
257,0.673333,0.697083,0.1673,647,4138,4785
405,0.265,0.562083,0.194037,163,3667,3830
719,0.3325,0.625417,0.184092,333,4934,5267
292,0.541739,0.895217,0.243339,254,2170,2424
320,0.456667,0.93,0.136829,145,1672,1817
510,0.655,0.716667,0.172896,1059,5711,6770
51,0.285217,0.407826,0.223235,639,1173,1812
4,0.2,0.590435,0.160296,108,1454,1562
178,0.6825,0.658333,0.107588,854,3854,4708
364,0.311667,0.636667,0.134337,491,2508,2999
558,0.716667,0.633333,0.151733,975,6289,7264
681,0.420833,0.659167,0.1275,2290,4562,6852
309,0.326667,0.519167,0.189062,1156,2770,3926
432,0.404167,0.513333,0.345779,432,4484,4916
646,0.415833,0.708333,0.141162,781,2729,3510
663,0.5875,0.63625,0.0727792,795,6898,7693
241,0.636667,0.554583,0.159825,729,3905,4634
383,0.303333,0.443333,0.415429,109,3267,3376
44,0.316522,0.457391,0.260883,397,1192,1589
99,0.3425,0.8775,0.133083,879,1576,2455
222,0.766667,0.424167,0.200258,884,3896,4780
541,0.743333,0.479167,0.145525,2551,4340,6891
582,0.793333,0.613333,0.257458,2345,4479,6824
390,0.294167,0.64375,0.161071,467,3803,4270
225,0.685833,0.729583,0.211454,1504,2646,4150
485,0.458333,0.587083,0.116908,2229,4075,6304
252,0.65,0.897917,0.124379,417,3127,3544
718,0.410833,0.66625,0.221404,433,5124,5557
415,0.28,0.515833,0.253112,618,2071,2689
38,0.271667,0.738333,0.0454083,120,1592,1712
379,0.18,0.4575,0.187183,333,2160,2493
701,0.298333,0.806667,0.0597042,951,4240,5191
703,0.4525,0.7675,0.0827208,555,5679,6234
161,0.755,0.605,0.140554,815,3771,4586
179,0.744167,0.634167,0.144283,732,3916,4648
10,0.150833,0.482917,0.223267,41,1280,1321
584,0.7525,0.654167,0.129354,1233,5780,7013
607,0.685,0.552083,0.112562,1177,6520,7697
14,0.16087,0.537826,0.126548,54,1367,1421
421,0.290833,0.395833,0.421642,317,2415,2732
260,0.491667,0.718333,0.189675,1434,3077,4511
17,0.175833,0.5375,0.194017,117,883,1000
727,0.254167,0.652917,0.350133,247,1867,2114
563,0.763333,0.645,0.164187,1088,5742,6830
439,0.5725,0.507083,0.115062,997,5315,6312
315,0.324167,0.44625,0.314675,440,2928,3368
207,0.771667,0.540833,0.200258,750,3840,4590
357,0.373333,0.68625,0.274246,163,2046,2209
338,0.330833,0.775833,0.0839583,634,2851,3485
434,0.410833,0.407083,0.4148,447,4122,4569
503,0.593333,0.52,0.229475,1242,6142,7384
537,0.7825,0.592083,0.113812,872,5339,6211
318,0.53,0.587083,0.306596,595,3891,4486
112,0.336667,0.729583,0.219521,177,1506,1683
5,0.226957,0.436957,0.1869,82,1518,1600
87,0.264348,0.302174,0.212204,222,1806,2028
491,0.621667,0.756667,0.152992,2496,4387,6883
331,0.459167,0.698333,0.208954,810,2261,3071
117,0.62,0.835417,0.3122,547,3325,3872
31,0.180833,0.60375,0.187192,42,1459,1501
471,0.606667,0.507917,0.225129,2846,4286,7132
198,0.719167,0.604167,0.245033,2006,3296,5302
39,0.220833,0.537917,0.36195,64,1466,1530
122,0.549167,0.73,0.183454,847,3554,4401
239,0.68,0.85,0.375617,226,889,1115
267,0.606667,0.8625,0.0783833,1776,3647,5423
116,0.631667,0.729167,0.3265,678,3722,4400
132,0.535,0.7475,0.189667,695,4169,4864
568,0.595833,0.865417,0.2133,1264,3195,4459
236,0.673333,0.605,0.253108,949,4181,5130
186,0.746667,0.590417,0.126258,1031,3634,4665
53,0.182222,0.577778,0.195683,74,1376,1450
72,0.384348,0.527391,0.270604,982,1435,2417
593,0.706667,0.619583,0.169771,1198,6149,7347
129,0.5325,0.58875,0.176,664,3698,4362
115,0.606667,0.776667,0.185333,773,3300,4073
88,0.3025,0.314167,0.226996,317,2108,2425
281,0.521667,0.70125,0.0454042,2235,3174,5409
89,0.3,0.646667,0.172888,168,1368,1536
367,0.273043,0.381304,0.329665,244,1707,1951
213,0.771667,0.550833,0.156717,729,3537,4266
524,0.6025,0.567083,0.15735,1038,6456,7494
394,0.2825,0.31125,0.24005,558,2685,3243
58,0.343478,0.68,0.125248,694,1708,2402
517,0.68,0.492917,0.195279,1100,6238,7338
264,0.595,0.9,0.0964042,539,3813,4352
170,0.699167,0.666667,0.102,1639,3105,4744
661,0.4875,0.568333,0.0814833,830,6228,7058
545,0.749167,0.4225,0.17165,921,5958,6879
209,0.779167,0.583333,0.178479,606,3784,4390
302,0.254167,0.8825,0.351371,57,570,627
578,0.713333,0.704167,0.165425,968,6248,7216
715,0.324167,0.650417,0.10635,767,4280,5047
670,0.3575,0.666667,0.166667,419,5147,5566
688,0.3425,0.692917,0.227612,922,3747,4669
723,0.245833,0.515417,0.133083,408,1379,1787
163,0.6925,0.747917,0.163567,1467,2993,4460
221,0.775,0.570417,0.151121,907,3695,4602
585,0.735833,0.70375,0.116908,1278,5995,7273
604,0.653333,0.845833,0.228858,1483,3772,5255
296,0.421667,0.74125,0.0995125,1619,2762,4381
184,0.716667,0.6825,0.228858,2282,2367,4649
137,0.561667,0.837917,0.277354,678,3445,4123
441,0.435833,0.842083,0.113192,548,3830,4378
134,0.520833,0.9225,0.13495,902,2507,3409
400,0.264167,0.779583,0.121896,384,2448,2832
103,0.4125,0.819167,0.250617,209,1953,2162
477,0.57,0.682917,0.283587,2541,4083,6624
359,0.274783,0.681304,0.155091,303,451,754
621,0.599167,0.577083,0.131846,1050,6820,7870
589,0.6925,0.732917,0.206479,2247,4052,6299
64,0.384167,0.789167,0.251871,640,1437,2077
515,0.7225,0.684583,0.2954,880,4863,5743
322,0.274167,0.41,0.168533,245,3147,3392
425,0.344348,0.804783,0.179117,65,1769,1834
596,0.678333,0.603333,0.177867,2827,5038,7865
601,0.695833,0.635833,0.0845958,1363,6402,7765
521,0.5975,0.487083,0.284833,1071,5927,6998
468,0.3975,0.46625,0.290429,663,4746,5409
408,0.1275,0.464583,0.409212,73,1456,1529
360,0.321739,0.506957,0.239465,430,887,1317
284,0.566667,0.80875,0.143042,667,3896,4563
669,0.318182,0.825455,0.213009,87,1009,1096
173,0.733333,0.7075,0.172262,661,3846,4507
300,0.47,0.812917,0.197763,240,2419,2659
19,0.292174,0.741739,0.208317,78,1572,1650
255,0.644348,0.692174,0.088913,690,4023,4713
98,0.335833,0.83625,0.226992,172,1299,1471
709,0.384167,0.905417,0.157975,441,2787,3228
591,0.720833,0.545417,0.136212,1207,5676,6883
50,0.399167,0.187917,0.507463,532,1103,1635
553,0.828333,0.450833,0.146142,1366,4841,6207
714,0.281667,0.642917,0.131229,429,5182,5611
712,0.2975,0.538333,0.162937,310,5009,5319
164,0.635,0.494583,0.30535,863,4157,5020
349,0.4225,0.634167,0.268042,181,3528,3709
